,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Pedosphaerales.f__Pedosphaeraceae,0.00011031,0.000124299,0.887452993,1,0.2,0.992137363,0.002
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Shewanellaceae,0.00011031,0.000157561,0.70010789,1,0.2,0.99226096,0.089
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__uncultured.f__,0.000106067,0.000167707,0.632455532,0,1,0.992379802,0.285
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Phormidesmiales.f__Phormidesmiaceae,0.000106067,0.000118587,0.894427191,1,0,0.992498645,0.975
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae,0.000106067,9.68E-05,1.095445115,1,0,0.992617488,0.124
d__Bacteria.k__.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Arcobacteraceae,0.000106067,0.000118587,0.894427191,1,0,0.992736331,0.92
d__Bacteria.k__.p__Desulfobacterota.c__Desulfomonilia.o__Desulfomonilales.f__Desulfomonilaceae,0.000106067,0.000216508,0.489897949,1,0,0.992855173,0.001
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Oscillatoriaceae,0.000106067,0.000167707,0.632455532,1,0,0.992974016,0.344
d__Bacteria.k__.p__Myxococcota.c__bacteriap25.o__.f__,0.000106067,0.000136932,0.774596669,1,0,0.993092859,0.032
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Crocinitomicaceae,0.000106067,9.68E-05,1.095445115,1,0,0.993211702,0.317
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Amoebophilaceae,0.000106067,9.68E-05,1.095445115,1,0,0.993330544,0.007
d__Bacteria.k__.p__Gemmatimonadota.c__PAUC43f_marine_benthic_group.o__.f__,0.000106067,0.000216508,0.489897949,1,0,0.993449387,0.027
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Haliangiales.f__Haliangiaceae,0.000106067,0.000167707,0.632455532,1,0,0.99356823,0.016
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.__.__,0.000106067,0.000136932,0.774596669,1,0,0.993687073,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prolixibacteraceae,0.000106067,0.000167707,0.632455532,1,0,0.993805916,0.148
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Gven.F17,0.000101824,0.000112418,0.905767868,1,0.2,0.993920005,0.2
d__Bacteria.k__.p__Actinobacteriota.c__Thermoleophilia.o__Gaiellales.f__uncultured,9.33E-05,8.28E-05,1.126724543,0.8,0.4,0.994024586,0.103
d__Bacteria.k__.p__Bdellovibrionota.c__Bdellovibrionia.o__Bacteriovoracales.f__Bacteriovoracaceae,8.91E-05,0.000117315,0.759463456,0.8,0.2,0.994124414,0.623
